0119_attend,0119_quiz_class,0123_quiz1,0126_attend,0127_quiz2,0201_homework0,0201_quiz3,0202_attend,0202_millionaire,0203_quiz5,0207_attend,0209_attend,0209_quiz6,0213_homework1,0214_attend,0216_attend,0301_quiz7,0304_exam1,0307_attend,0315_homework2,0327_quiz8,0330_attend,0402_homework3,0404_exam2,0406_attend,0411_attend,0413_attend,0413_quiz_class,0415_homework4,0430_homework5,0509_final,0510_extra,0510_group,total_sum,total_weighted
1,3.0,,0.0,,0,,1,4.9,,0.0,1,,0,0.0,0.0,,37.0,0.0,0,,0.0,0,57,0.0,1.0,1,92.0,0,100,47,0.0,20.0,420.9,38.05
0,0.0,,1.0,,100,,1,9.4,,0.0,1,,0,0.0,0.0,,68.0,0.0,10,,1.0,0,61,0.0,0.0,1,85.0,0,0,0,0.0,40.0,437.4,33.269999999999996
1,5.0,86.0,0.0,,100,88.0,0,0.0,,0.0,1,92.0,10,0.0,0.0,96.0,69.5,0.0,40,90.0,0.0,20,89,0.0,0.0,1,78.0,90,60,64,0.0,60.0,1321.5,66.78
1,3.0,90.0,1.0,86.0,100,,1,6.4,,1.0,1,,90,0.0,0.0,,58.0,0.0,100,,0.0,60,72,0.0,1.0,0,0.0,100,100,62,0.0,80.0,1084.4,74.95
1,4.0,90.0,1.0,84.0,100,90.0,1,7.4,88.0,1.0,1,,10,1.0,1.0,,58.0,1.0,50,86.0,1.0,0,86,1.0,1.0,1,21.0,100,80,70,0.0,80.0,1202.4,68.64
0,0.0,100.0,0.0,98.0,0,96.0,0,0.0,96.0,0.0,1,98.0,0,0.0,0.0,,57.0,0.0,0,,0.0,10,5,0.0,0.0,0,0.0,0,0,45,0.0,40.0,651.0,31.369999999999997
1,1.0,92.0,1.0,72.0,100,,1,2.8,80.0,1.0,1,80.0,0,1.0,1.0,,51.0,0.0,70,,1.0,30,69,0.0,0.0,1,39.0,90,50,68,0.0,100.0,1070.8,64.67
0,0.0,88.0,1.0,96.0,100,84.0,0,0.0,84.0,1.0,1,90.0,90,1.0,1.0,98.0,41.5,1.0,100,90.0,1.0,60,67,1.0,1.0,0,0.0,100,100,74,0.0,100.0,1633.5,76.61
0,0.0,94.0,1.0,,100,,1,6.7,,0.0,1,,80,1.0,1.0,,90.0,0.0,100,,0.0,100,89,1.0,1.0,1,95.0,100,100,95,1.0,100.0,1247.7,93.46
1,3.0,,1.0,,100,,1,0.1,,0.0,1,,0,0.0,0.0,,40.0,1.0,0,,0.0,60,63,1.0,0.0,1,48.0,100,50,89,0.0,100.0,720.1,63.75999999999999
0,0.0,,0.0,,0,,1,6.9,,1.0,1,,0,1.0,0.0,,50.0,0.0,0,,0.0,0,53,0.0,0.0,1,39.0,0,0,0,0.0,20.0,224.9,21.790000000000003
1,3.0,98.0,1.0,96.0,100,94.0,1,5.3,96.0,0.0,1,96.0,80,0.0,1.0,98.0,54.0,0.0,50,100.0,0.0,60,52,1.0,0.0,1,36.0,70,90,73,0.0,80.0,1579.3,69.81
1,4.0,84.0,1.0,84.0,80,72.0,0,0.0,86.0,1.0,1,72.0,50,0.0,0.0,78.0,53.0,0.0,90,78.0,0.0,10,46,1.0,0.0,1,34.0,100,100,62,0.0,100.0,1409.0,64.77000000000001
1,1.0,86.0,1.0,88.0,100,,1,4.2,,1.0,1,,0,1.0,1.0,,12.0,0.0,70,,0.0,60,55,1.0,0.0,1,79.0,0,100,19,0.0,60.4,796.6,41.660000000000004
1,4.0,92.0,1.0,94.0,100,96.0,1,6.3,98.0,1.0,1,94.0,10,1.0,1.0,96.0,44.5,1.0,10,100.0,1.0,10,93,1.0,1.0,1,63.0,80,100,89,5.0,96.0,1583.8,72.72999999999999
