0119_attend,0119_quiz_class,0123_quiz1,0126_attend,0127_quiz2,0201_homework0,0201_quiz3,0202_attend,0202_millionaire,0203_quiz5,0207_attend,0209_attend,0209_quiz6,0213_homework1,0214_attend,0216_attend,0301_quiz7,0304_exam1,0307_attend,0315_homework2,0327_quiz8,0330_attend,0402_homework3,0404_exam2,0406_attend,0411_attend,0413_attend,0413_quiz_class,0415_homework4,0430_homework5,0509_final_exam,0510_extra,0510_group,total_sum,total_weighted
1,4,92,1,94,100,96,1,6.3,98,1,1,94,10,1,1,96,44.5,1,10,100,1,10,93,1,1,1,63,80,100,89,5,96,1583.8,72.73
0,0,98,1,98,100,98,1,6.7,86,0,1,48,100,0,0,92,57,0,0,100,0,60,75,0,0,1,85,100,100,63,2,80,1623.7,71.07
0,0,88,1,90,100,94,1,6.7,,0,1,,0,0,0,,68,0,0,,0,0,73,0,0,1,70,100,0,73,0,60,897.7,59.97
1,4,,1,,100,,0,0,,1,1,,100,1,1,,79.5,1,100,,0,80,100,0,0,1,107,100,100,96,0,100,1177.5,94.09
0,0,92,1,92,80,78,1,6.2,94,0,1,94,0,0,0,86,43.5,0,90,78,0,0,76,0,0,1,99,20,10,65,0,80,1333.7,56.55
0,0,96,0,96,100,94,1,5.6,84,0,1,86,110,0,0,94,55.5,0,100,96,1,110,64,0,0,1,97,100,100,93,2,80,1827.1,85
1,4,94,1,,80,90,1,9.1,90,1,1,92,80,0,1,,84,0,100,90,1,10,100,1,0,1,98,100,90,90,1,80,1489.1,85.8
1,5,100,1,100,100,98,1,8.8,98,1,1,98,140,1,1,98,95,0,100,100,0,90,100,0,1,1,113,100,80,95,16,100,2040.8,98.36
0,0,,1,10,0,,1,7.1,,0,0,,0,0,1,,65,0,0,,0,0,68,0,0,0,0,0,0,61,0,60,359.1,40.71
1,4,94,1,96,100,,0,0,,0,0,,10,0,1,,45,0,20,,0,40,71,0,0,1,99,100,0,44,0,60,858,55.45
1,4,98,1,98,100,96,1,9,100,1,1,96,0,1,1,96,76,1,100,98,1,0,97,1,1,1,79,100,100,82,0,100,1749,84.95
1,2,92,1,96,100,100,1,5.1,98,1,1,96,40,1,1,98,39,0,10,98,0,110,57,0,0,1,102,100,10,52,0,80,1559.1,62.05
1,4,,1,,100,,1,9.7,,0,0,,100,1,1,,83.5,1,100,,0,100,98,1,0,1,93,100,100,98,0,100,1211.2,96.02
0,0,,1,,20,,1,8.2,,1,1,,90,0,0,,49,1,10,,1,100,70,1,0,0,0,100,90,69,0,92,789.2,67
0,0,100,1,100,100,,1,1.8,,1,1,,0,1,1,,45,0,0,,0,10,81,0,0,1,89,100,50,0,0,98,862.8,48.04
1,3,96,0,100,100,92,1,1.7,100,0,0,100,100,0,0,100,53,0,100,100,0,100,60,0,0,1,75,100,100,58,0,100,1794.7,75.85
0,0,,0,,0,,0,0,,1,1,,10,1,1,,73,0,10,,0,100,93,0,0,0,0,80,0,71,0,100,635,62.15
0,0,,1,,100,,1,10,,0,0,,10,0,1,,65,0,0,,0,60,85,1,0,1,105,90,20,62,0,80,793,67.3
1,3,,1,,100,,1,5.8,,0,0,,0,0,1,,62,0,10,,0,10,64,0,0,0,0,0,0,36,0,40,397.8,38.58
1,4,82,1,80,100,86,1,7.4,84,1,1,92,100,1,1,84,82,0,100,74,1,70,94,1,0,1,80,100,90,86,0,100,1805.4,90.93
1,3,96,1,94,0,96,1,4.8,100,1,1,98,0,1,1,,43,0,0,,0,0,51,1,0,1,54,100,0,50,0,60,910.8,43.53
1,2,100,1,98,100,96,1,4.3,98,1,1,96,10,1,1,98,52,0,100,98,1,100,71,0,0,1,61,100,100,66,18,100,1748.3,79.22
1,5,,0,,100,,1,5.7,,0,0,,0,0,1,,67.5,1,10,,0,0,57,1,0,1,72,100,90,55,0,100,745.2,62.91
1,4,94,1,88,100,86,1,4,92,1,1,96,80,1,1,88,30,0,0,,1,90,69,0,0,1,97,90,80,57,8,100,1526,69.57
1,3,88,1,90,100,72,1,6.8,,1,1,,0,1,1,,53,1,10,,0,0,70,0,0,1,97,10,0,0,0,60,744.8,36.28
1,4,98,1,96,100,94,0,0,94,0,1,96,40,0,0,98,83,0,90,98,0,10,98,0,0,1,101,100,90,90,0,100,1779,89.3
1,3,90,1,96,100,92,1,5,96,1,1,98,10,1,1,90,57,1,70,94,0,10,75,0,0,1,105,100,20,56,0,100,1541,66.12
0,0,94,1,92,100,98,1,7,96,1,1,96,10,1,1,96,58.5,1,0,98,1,0,79,1,1,1,84,100,90,81,0,100,1579.5,73.24
